"Station Name","CHARLOTTETOWN A"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.29"
"Longitude","-63.13"
"Elevation","48.80"
"Climate Identifier","8300300"
"WMO Identifier","71706"
"TC Identifier","YYG"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1944-08","1944","08","24.8","","15.7","","20.3","","34.4","","10.0","S","78.5","","0.0","","78.5","","","",,"",,""
"1944-09","1944","09","19.4","","11.8","","15.6","","23.9","S","3.9","","79.0","","0.0","","79.0","","","",,"",,""
"1944-10","1944","10","11.7","","5.1","","8.4","","18.9","S","-4.4","","166.9","","0.0","T","166.9","","","",,"",,""
"1944-11","1944","11","7.1","","1.9","","4.5","","17.2","","-3.9","","146.6","","0.0","T","146.6","","","",,"",,""
"1944-12","1944","12","-0.8","","-7.8","","-4.3","","9.4","","-17.8","","55.9","","69.6","","125.5","","","",,"",,""
"1945-01","1945","01","-2.0","","-9.9","","-6.0","","8.9","","-20.6","S","24.9","","143.3","","168.1","","","",,"",,""
"1945-02","1945","02","-3.2","","-9.6","","-6.4","","4.4","","-17.8","","23.1","","63.0","","86.1","","","",,"",,""
"1945-03","1945","03","2.6","","-5.1","","-1.3","","16.1","","-14.4","S","74.9","","18.5","","93.5","","","",,"",,""
"1945-04","1945","04","7.9","","0.6","","4.3","","22.2","","-6.1","","98.6","","16.8","","115.3","","","",,"",,""
"1945-05","1945","05","11.8","","3.9","","7.9","","18.3","S","-3.9","","141.2","","2.3","","143.5","","","",,"",,""
"1945-06","1945","06","17.4","","8.4","","12.9","","28.9","","1.7","","89.4","","0.0","","89.4","","","",,"",,""
"1945-07","1945","07","24.6","","13.8","","19.2","","30.6","","9.4","S","27.7","","0.0","","27.7","","","",,"",,""
"1945-08","1945","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-09","1945","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-10","1945","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-11","1945","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1945-12","1945","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1946-01","1946","01","-3.6","","-12.2","","-7.9","","9.4","","-26.1","","0.0","","113.3","","113.3","","","",,"",,""
"1946-02","1946","02","-3.9","","-13.1","","-8.5","","8.3","","-19.4","","5.1","","59.9","","65.0","","","",,"",,""
"1946-03","1946","03","3.3","","-4.1","","-0.4","","15.6","","-8.9","","1.8","","2.8","","4.6","","","",,"",,""
"1946-04","1946","04","5.6","","-1.5","","2.1","","16.7","S","-10.6","","30.5","","82.8","","113.3","","","",,"",,""
"1946-05","1946","05","14.4","","4.3","","9.4","","23.9","","-6.7","","60.7","","0.0","T","60.7","","","",,"",,""
"1946-06","1946","06","19.9","","9.8","","14.9","","29.4","","4.4","S","30.7","","0.0","","30.7","","","",,"",,""
"1946-07","1946","07","22.2","","12.9","","17.6","","29.4","","4.4","","41.7","","0.0","","41.7","","","",,"",,""
"1946-08","1946","08","21.9","","14.0","","18.0","","27.2","","9.4","","109.5","","0.0","","109.5","","","",,"",,""
"1946-09","1946","09","20.1","","11.7","","15.9","","25.6","S","6.1","","73.4","","0.0","","73.4","","","",,"",,""
"1946-10","1946","10","14.5","","5.3","","9.9","","22.2","","-1.7","","108.7","","0.3","","109.0","","","",,"",,""
"1946-11","1946","11","6.2","","-1.4","","2.4","","13.3","","-11.7","","87.9","","20.8","","108.7","","","",,"",,""
"1946-12","1946","12","-0.5","","-8.6","","-4.6","","8.9","S","-23.9","","108.7","","37.8","","146.6","","","",,"",,""
"1947-01","1947","01","-2.8","","-12.8","","-7.8","","8.9","","-21.7","","81.5","","22.6","","104.1","","0","T",,"",,""
"1947-02","1947","02","-1.4","","-7.9","","-4.7","","5.6","","-15.6","","26.7","","38.6","","65.3","","23","",,"",,""
"1947-03","1947","03","1.3","","-5.3","","-2.0","","7.8","","-11.1","S","19.6","","13.5","","33.0","","0","T",,"",,""
"1947-04","1947","04","5.3","","-3.1","","1.1","","16.7","","-7.2","","74.9","","11.2","","86.1","","0","",,"",,""
"1947-05","1947","05","14.3","","4.4","","9.4","","22.8","S","-3.3","","147.6","","0.0","","147.6","","0","",,"",,""
"1947-06","1947","06","17.9","","8.5","","13.2","","30.0","","-1.1","","126.2","","0.0","","126.2","","0","",,"",,""
"1947-07","1947","07","25.3","","17.6","","21.5","","29.4","","13.3","","63.5","","0.0","","63.5","","0","",,"",,""
"1947-08","1947","08","23.3","","14.1","","18.7","","33.3","","7.8","","32.0","","0.0","","32.0","","0","",,"",,""
"1947-09","1947","09","18.9","","10.1","","14.5","","29.4","","1.1","","128.8","","0.0","","128.8","","0","",,"",,""
"1947-10","1947","10","14.0","","5.6","","9.8","","22.2","","0.0","","27.9","","0.0","","27.9","","0","",,"",,""
"1947-11","1947","11","6.0","","0.5","","3.3","","12.8","","-7.2","","110.2","","4.6","","114.8","","0","",,"",,""
"1947-12","1947","12","-2.2","","-7.3","","-4.8","","5.0","","-12.8","","17.8","","69.1","","86.9","","56","",,"",,""
"1948-01","1948","01","-3.8","","-11.4","","-7.6","","4.4","","-20.6","S","3.3","","67.6","","70.9","","114","",,"",,""
"1948-02","1948","02","-6.3","","-16.1","","-11.2","","7.2","","-26.1","","8.6","","31.5","","40.1","","104","",,"",,""
"1948-03","1948","03","-2.2","","-10.6","","-6.4","","8.3","","-23.9","","20.1","","41.7","","61.7","","28","",,"",,""
"1948-04","1948","04","4.6","","-1.7","","1.5","","10.0","","-6.7","","42.2","","46.2","","88.4","","0","T",,"",,""
"1948-05","1948","05","12.8","","4.8","","8.8","","23.9","","-1.7","","96.3","","0.0","","96.3","","0","",,"",,""
"1948-06","1948","06","17.4","","8.8","","13.1","","29.4","","4.4","","81.8","","0.0","","81.8","","0","",,"",,""
"1948-07","1948","07","22.6","","14.4","","18.5","","28.9","","8.9","","88.4","","0.0","","88.4","","0","",,"",,""
"1948-08","1948","08","22.6","","14.4","","18.5","","26.7","S","9.4","","80.8","","0.0","","80.8","","0","",,"",,""
"1948-09","1948","09","18.1","","10.6","","14.4","","28.3","","4.4","S","88.1","","0.0","","88.1","","0","",,"",,""
"1948-10","1948","10","12.4","","6.1","","9.3","","18.3","S","-2.2","","73.7","","1.8","","75.4","","0","",,"",,""
"1948-11","1948","11","7.5","","1.6","","4.6","","16.7","S","-1.7","","137.7","","5.1","","142.7","","0","",,"",,""
"1948-12","1948","12","0.8","","-4.9","","-2.1","","10.0","S","-15.6","","35.8","","44.7","","80.5","","5","",,"",,""
"1949-01","1949","01","-1.5","","-9.2","","-5.4","","10.0","","-20.0","","31.2","","32.5","","63.8","","15","",,"",,""
"1949-02","1949","02","-3.1","","-11.3","","-7.2","","5.6","","-18.3","","31.2","","74.4","","105.7","","43","",,"",,""
"1949-03","1949","03","1.6","","-5.9","","-2.2","","6.7","S","-12.2","S","66.0","","78.0","","144.0","","0","",,"",,""
"1949-04","1949","04","7.5","","-0.3","","3.6","","16.1","","-3.9","S","89.4","","18.5","","108.0","","0","",,"",,""
"1949-05","1949","05","13.7","","4.2","","9.0","","23.9","","-1.1","","73.4","","0.0","","73.4","","0","",,"",,""
"1949-06","1949","06","19.9","","10.5","","15.2","","30.0","S","3.9","","50.3","","0.0","","50.3","","0","",,"",,""
"1949-07","1949","07","23.9","","14.5","","19.2","","32.8","","8.9","S","52.6","","0.0","","52.6","","0","",,"",,""
"1949-08","1949","08","22.9","","13.6","","18.3","","29.4","","8.3","S","126.2","","0.0","","126.2","","0","",,"",,""
"1949-09","1949","09","18.2","","10.3","","14.3","","25.0","S","3.9","","110.7","","0.0","","110.7","","0","",,"",,""
"1949-10","1949","10","13.4","","5.9","","9.7","","23.3","","-0.6","","54.6","","0.0","T","54.6","","0","",,"",,""
"1949-11","1949","11","5.2","","-1.2","","2.0","","13.9","","-8.3","","98.6","","14.5","","113.0","","0","",,"",,""
"1949-12","1949","12","2.1","","-4.8","","-1.4","","13.9","","-13.3","","67.8","","6.9","","74.7","","3","",,"",,""
"1950-01","1950","01","-1.6","","-11.5","","-6.6","","11.7","","-23.3","","27.9","","55.1","","83.1","","0","",,"",,""
"1950-02","1950","02","-6.4","","-15.3","","-10.9","","5.6","","-25.0","","11.9","","55.6","","67.6","","0","",,"",,""
"1950-03","1950","03","-0.9","","-9.4","","-5.2","","9.4","","-23.3","","10.7","","25.9","","36.6","","0","T",,"",,""
"1950-04","1950","04","6.1","","-0.9","","2.6","","15.6","","-7.2","","33.5","","62.7","","96.3","","0","",,"",,""
"1950-05","1950","05","15.9","","4.1","","10.0","","27.2","","-2.8","","22.1","","0.0","","22.1","","0","",,"",,""
"1950-06","1950","06","19.6","","10.0","","14.8","","29.4","","4.4","","57.9","","0.0","","57.9","","0","",,"",,""
"1950-07","1950","07","22.6","","13.4","","18.0","","27.2","","8.9","","99.8","","0.0","","99.8","","0","",,"",,""
"1950-08","1950","08","21.5","","13.4","","17.5","","26.7","S","8.9","S","169.4","","0.0","","169.4","","0","",,"",,""
"1950-09","1950","09","15.8","","7.3","","11.6","","23.3","S","-0.6","","22.9","","0.0","","22.9","","0","",,"",,""
"1950-10","1950","10","11.7","","3.8","","7.8","","21.1","","-2.2","S","62.7","","0.0","","62.7","","0","",,"",,""
"1950-11","1950","11","8.9","","1.7","","5.3","","18.9","","-5.6","","110.7","","0.3","","111.0","","0","",,"",,""
"1950-12","1950","12","3.3","","-3.4","","-0.1","","16.7","","-17.2","","79.5","","44.5","","124.0","","","M",,"",,""
"1951-01","1951","01","-0.9","","-8.7","","-4.8","","10.0","","-26.1","","18.5","","61.0","","79.5","","0","",,"",,""
"1951-02","1951","02","0.2","","-8.0","","-3.9","","10.0","","-21.1","","36.8","","32.8","","69.6","","0","",,"",,""
"1951-03","1951","03","2.1","","-4.1","","-1.0","","12.2","","-10.6","S","63.2","","38.1","","101.3","","0","",,"",,""
"1951-04","1951","04","9.1","","1.8","","5.5","","18.3","","-2.2","","94.5","","0.0","T","94.5","","0","",,"",,""
"1951-05","1951","05","13.4","E","4.6","","9.0","E","","M","-3.3","S","126.7","","0.0","T","126.7","","0","",,"",,""
"1951-06","1951","06","17.5","","9.1","","13.3","","26.7","","3.3","","97.5","","0.0","","97.5","","0","",,"",,""
"1951-07","1951","07","23.0","","14.8","","18.9","","27.8","","11.1","","124.5","","0.0","","124.5","","0","",,"",,""
"1951-08","1951","08","21.3","","14.4","","17.9","","26.1","","7.8","","190.2","","0.0","","190.2","","0","",,"",,""
"1951-09","1951","09","18.8","","10.8","","14.8","","26.7","","3.9","S","59.7","","0.0","","59.7","","0","",,"",,""
"1951-10","1951","10","13.0","","4.5","","8.8","","18.9","","-2.2","","46.5","","0.0","T","46.5","","0","",,"",,""
"1951-11","1951","11","7.0","","-0.8","","3.1","","17.8","","-10.6","","127.8","","24.4","","152.1","","0","",,"",,""
"1951-12","1951","12","-0.6","","-8.3","","-4.5","","11.1","S","-22.8","","46.5","","78.0","","124.5","","13","",,"",,""
"1952-01","1952","01","-1.9","","-10.7","","-6.3","","8.3","","-21.1","","58.2","","89.2","","147.3","","0","",,"",,""
"1952-02","1952","02","-1.8","","-8.6","","-5.2","","7.8","","-16.1","","9.7","","140.5","","149.1","","0","",,"",,""
"1952-03","1952","03","0.0","","-5.6","","-2.8","","5.6","S","-11.7","S","15.5","","68.8","","84.3","","0","",,"",,""
"1952-04","1952","04","7.6","","-0.6","","3.5","","16.7","","-6.7","S","62.7","","0.5","","63.2","","0","T",,"",,""
"1952-05","1952","05","12.3","","3.5","","7.9","","24.4","","-0.6","","79.0","","0.0","","79.0","","0","",,"",,""
"1952-06","1952","06","18.8","","9.9","","14.4","","25.0","","5.6","","123.7","","0.0","","123.7","","0","",,"",,""
"1952-07","1952","07","25.1","","15.2","","20.2","","31.1","","8.3","","60.5","","0.0","","60.5","","0","",,"",,""
"1952-08","1952","08","23.6","","15.2","","19.4","","30.0","","7.8","","95.0","","0.0","","95.0","","0","",,"",,""
"1952-09","1952","09","19.1","","10.3","","14.7","","26.7","","3.3","","40.6","","0.0","","40.6","","0","",,"",,""
"1952-10","1952","10","12.0","","3.9","","8.0","","21.1","","-2.8","","77.2","","7.6","","84.8","","0","",,"",,""
"1952-11","1952","11","4.8","","-0.5","","2.2","","14.4","","-8.3","","63.5","","4.6","","68.1","","0","",,"",,""
"1952-12","1952","12","-0.1","","-5.3","","-2.7","","8.3","","-16.1","","16.0","","43.9","","59.9","","25","",,"",,""
"1953-01","1953","01","-0.1","","-8.1","","-4.1","","10.0","","-14.4","S","74.7","","28.7","","103.4","","0","",,"",,""
"1953-02","1953","02","-0.2","","-7.9","","-4.1","","9.4","S","-18.9","","79.0","","43.4","","122.4","","0","",,"",,""
"1953-03","1953","03","1.5","","-4.6","","-1.6","","13.3","","-15.0","","64.8","","19.8","","84.6","","0","",,"",,""
"1953-04","1953","04","8.4","","1.4","","4.9","","13.9","","-2.2","","71.4","","1.3","","72.6","","0","",,"",,""
"1953-05","1953","05","11.7","","3.7","","7.7","","23.3","","-2.8","","82.0","","0.0","","82.0","","0","",,"",,""
"1953-06","1953","06","19.1","","9.9","","14.5","","27.2","","3.3","S","39.1","","0.0","","39.1","","0","",,"",,""
"1953-07","1953","07","22.8","","14.4","","18.6","","27.8","","10.0","","87.6","","0.0","","87.6","","0","",,"",,""
"1953-08","1953","08","21.1","","12.8","","17.0","","27.2","","7.2","","135.9","","0.0","","135.9","","0","",,"",,""
"1953-09","1953","09","19.0","","10.8","","14.9","","27.2","","2.8","","82.3","","0.0","","82.3","","0","",,"",,""
"1953-10","1953","10","11.9","","4.7","","8.3","","22.2","","-1.1","","131.6","","0.0","","131.6","","0","",,"",,""
"1953-11","1953","11","8.0","","2.0","","5.0","","17.2","","-5.6","","69.6","","0.8","","70.4","","0","T",,"",,""
"1953-12","1953","12","3.1","","-4.0","","-0.5","","13.9","","-15.0","","109.2","","37.6","","146.8","","5","",,"",,""
"1954-01","1954","01","-3.7","","-11.6","","-7.7","","6.7","","-22.2","S","78.5","","121.7","","200.2","","","M",,"",,""
"1954-02","1954","02","0.3","","-6.6","","-3.2","","8.9","","-24.4","","106.9","","53.1","","160.0","","8","",,"",,""
"1954-03","1954","03","0.6","","-5.5","","-2.5","","7.8","","-11.7","","37.1","","56.4","","93.5","","25","",,"",,""
"1954-04","1954","04","6.6","","-2.2","","2.2","","17.2","","-11.1","","51.1","","3.8","","54.9","","","M",,"",,""
"1954-05","1954","05","12.9","","3.7","","8.3","","22.2","","-4.4","","89.4","","0.0","","89.4","","0","",,"",,""
"1954-06","1954","06","19.6","","10.1","","14.9","","27.2","","2.8","","50.3","","0.0","","50.3","","0","",,"",,""
"1954-07","1954","07","22.1","","14.1","","18.1","","25.6","","9.4","","133.1","","0.0","","133.1","","0","",,"",,""
"1954-08","1954","08","20.4","","12.7","","16.6","","26.7","","7.2","","61.7","","0.0","","61.7","","0","",,"",,""
"1954-09","1954","09","17.4","","9.3","","13.4","","24.4","","3.9","","74.4","","0.0","","74.4","","0","",,"",,""
"1954-10","1954","10","12.4","","5.2","","8.8","","19.4","","-3.3","","104.4","","0.0","T","104.4","","","M",,"",,""
"1954-11","1954","11","6.2","","0.1","","3.2","","17.2","","-7.2","","66.8","","38.4","","105.2","","10","",,"",,""
"1954-12","1954","12","2.7","","-3.7","","-0.5","","11.7","","-10.6","","90.9","","63.5","","154.4","","15","",,"",,""
"1955-01","1955","01","-1.9","","-6.7","","-4.3","","2.2","","-20.6","","53.3","","100.8","","153.7","","61","",,"",,""
"1955-02","1955","02","-2.1","","-9.3","","-5.7","","7.8","","-27.2","S","47.8","","28.7","","76.5","","8","",,"",,""
"1955-03","1955","03","-0.1","","-6.4","","-3.3","","8.9","","-17.8","","63.2","","38.9","","102.1","","","M",,"",,""
"1955-04","1955","04","5.5","","-1.4","","2.1","","11.1","S","-5.6","","82.8","","7.1","","89.9","","0","",,"",,""
"1955-05","1955","05","12.5","","4.7","","8.6","","26.7","","0.0","","78.0","","0.0","","78.0","","0","",,"",,""
"1955-06","1955","06","18.8","","9.6","","14.2","","27.8","","4.4","","59.7","","0.0","","59.7","","0","",,"",,""
"1955-07","1955","07","23.2","","13.6","","18.4","","30.0","S","7.2","","79.8","","0.0","","79.8","","0","",,"",,""
"1955-08","1955","08","22.3","","14.7","","18.5","","29.4","","10.0","S","126.5","","0.0","","126.5","","0","",,"",,""
"1955-09","1955","09","17.2","","9.2","","13.2","","23.9","S","2.2","","97.3","","0.0","","97.3","","0","",,"",,""
"1955-10","1955","10","11.4","","4.9","","8.2","","21.1","","-2.2","","72.1","","0.0","T","72.1","","0","",,"",,""
"1955-11","1955","11","4.8","","-0.7","","2.1","","11.7","","-7.8","S","58.2","","34.5","","92.7","","8","",,"",,""
"1955-12","1955","12","-4.3","","-9.8","","-7.1","","1.7","S","-21.7","S","0.0","T","69.1","","69.1","","81","",,"",,""
"1956-01","1956","01","0.3","","-4.6","","-2.2","","7.8","","-22.2","","153.7","","76.7","","230.4","","61","",,"",,""
"1956-02","1956","02","-3.4","","-11.0","","-7.2","","5.6","","-17.2","","4.3","","89.7","","94.0","","122","",,"",,""
"1956-03","1956","03","-1.3","","-9.7","","-5.5","","5.6","S","-17.8","","10.2","","98.6","","108.7","","109","",,"",,""
"1956-04","1956","04","4.7","","-1.6","","1.6","","11.7","","-7.8","","50.8","","42.4","","93.2","","0","",,"",,""
"1956-05","1956","05","11.4","","1.8","","6.6","","21.1","","-2.8","S","88.6","","6.1","","94.7","","0","",,"",,""
"1956-06","1956","06","19.1","","9.2","","14.2","","26.7","","-0.6","","87.4","","0.0","","87.4","","0","",,"",,""
"1956-07","1956","07","20.8","","12.7","","16.8","","25.0","S","7.8","","74.2","","0.0","","74.2","","0","",,"",,""
"1956-08","1956","08","20.9","","12.2","","16.6","","27.2","","7.8","","42.9","","0.0","","42.9","","0","",,"",,""
"1956-09","1956","09","16.9","","8.6","","12.8","","26.1","","0.6","","61.2","","0.0","","61.2","","0","",,"",,""
"1956-10","1956","10","13.3","","4.4","","8.9","","19.4","","-3.3","","29.7","","0.0","T","29.7","","0","",,"",,""
"1956-11","1956","11","7.3","","-0.6","","3.4","","18.3","","-7.8","","89.7","","32.3","","121.9","","0","",,"",,""
"1956-12","1956","12","-0.2","","-8.1","","-4.2","","11.1","","-20.6","","50.8","","51.6","","102.4","","3","",,"",,""
"1957-01","1957","01","-6.9","","-16.3","","-11.6","","7.2","S","-27.8","","19.6","","123.2","","142.7","","20","","2","","114",""
"1957-02","1957","02","-3.2","","-10.6","","-6.9","","6.7","","-20.6","S","12.4","","88.1","","100.6","","61","","2","","82",""
"1957-03","1957","03","0.6","","-5.7","","-2.6","","4.4","S","-15.0","","12.7","","66.3","","79.0","","28","","11","","90",""
"1957-04","1957","04","5.5","","-1.9","","1.8","","16.7","","-9.4","","84.8","","42.7","","127.5","","0","",,"","<31",""
"1957-05","1957","05","12.9","","3.3","","8.1","","25.0","","-2.2","","72.6","","25.7","","98.3","","0","","34","","84",""
"1957-06","1957","06","19.3","","9.7","","14.5","","28.9","","3.9","","35.6","","0.0","","35.6","","0","","32","","55",""
"1957-07","1957","07","21.8","","13.5","","17.7","","28.3","","8.3","S","59.4","","0.0","","59.4","","0","","25","","56",""
"1957-08","1957","08","21.2","","13.2","","17.2","","25.0","","6.1","","65.3","","0.0","","65.3","","0","","29","","61",""
"1957-09","1957","09","18.6","","10.3","","14.5","","25.6","","3.9","","83.3","","0.0","","83.3","","0","","27","","66",""
"1957-10","1957","10","12.6","","5.4","","9.0","","20.6","","-2.8","S","64.8","","3.3","","68.1","","","M","36","","56",""
"1957-11","1957","11","6.9","","1.4","","4.2","","15.6","S","-12.8","","205.0","","3.8","","208.8","","0","","16","","64",""
"1957-12","1957","12","3.8","","-3.6","","0.1","","13.9","S","-14.4","","77.5","","34.3","","111.8","","0","","23","","89",""
"1958-01","1958","01","0.2","","-5.4","","-2.6","","10.0","","-16.1","","71.9","","40.6","","112.5","","8","","9","","79",""
"1958-02","1958","02","-2.3","","-8.6","","-5.5","","3.3","S","-16.7","S","31.2","","78.2","","109.5","","84","","11","","90",""
"1958-03","1958","03","1.4","","-2.6","","-0.6","","7.8","","-9.4","S","21.6","","26.2","","47.8","","10","","34","","72",""
"1958-04","1958","04","8.4","","1.3","","4.9","","21.7","","-3.3","","61.2","","17.0","","78.2","","0","","5","","84",""
"1958-05","1958","05","13.6","","5.1","","9.4","","19.4","","-1.7","S","48.3","","0.0","","48.3","","0","","25","","80",""
"1958-06","1958","06","17.6","","8.5","","13.1","","23.9","","2.2","","68.1","","0.0","","68.1","","0","","25","","71",""
"1958-07","1958","07","22.1","","13.2","","17.7","","26.1","S","7.8","","104.4","","0.0","","104.4","","0","","29","","64",""
"1958-08","1958","08","22.2","","13.9","","18.1","","27.8","","8.9","","126.5","","0.0","","126.5","","0","","25","","56",""
"1958-09","1958","09","17.2","","9.1","","13.2","","25.0","","3.9","","155.4","","0.0","","155.4","","0","","5","","89",""
"1958-10","1958","10","10.9","","4.2","","7.6","","21.7","","-2.2","","91.2","","0.0","T","91.2","","0","","25","","80",""
"1958-11","1958","11","5.6","","-1.3","","2.2","","13.9","","-10.0","","125.2","","13.2","","138.4","","0","","14","","87",""
"1958-12","1958","12","-5.9","","-12.9","","-9.4","","5.0","","-21.1","","32.8","","81.3","","114.0","","53","","27","","92",""
"1959-01","1959","01","-3.6","","-11.4","","-7.5","","10.0","","-21.1","","24.9","","15.7","","40.6","","3","","25","","80","S"
"1959-02","1959","02","-5.3","","-14.8","","-10.1","","7.8","","-23.9","","25.9","","34.3","","60.2","","33","","36","","87",""
"1959-03","1959","03","0.4","","-7.6","","-3.6","","8.3","","-16.1","","53.1","","44.2","","97.3","","5","","9","","119",""
"1959-04","1959","04","7.7","","-0.8","","3.5","","18.3","","-5.0","","37.8","","1.0","","38.9","","0","","16","","64","S"
"1959-05","1959","05","13.7","","4.7","","9.2","","24.4","","-1.1","S","55.6","","0.0","","55.6","","0","","32","","77",""
"1959-06","1959","06","17.1","","8.7","","12.9","","25.0","","1.7","","106.9","","0.0","","106.9","","0","","2","","93",""
"1959-07","1959","07","24.4","","15.2","","19.8","","30.0","","10.0","","61.7","","0.0","","61.7","","0","","20","","32",""
"1959-08","1959","08","20.6","","13.9","","17.3","","27.8","","5.0","","71.9","","0.0","","71.9","","0","","34","","68",""
"1959-09","1959","09","18.7","","9.9","","14.3","","26.1","","1.1","","62.2","","0.0","","62.2","","0","","29","","64",""
"1959-10","1959","10","11.2","","4.5","","7.9","","19.4","","-3.3","","180.3","","0.0","T","180.3","","0","","29","","72",""
"1959-11","1959","11","7.3","","0.3","","3.8","","18.9","","-9.4","","173.7","","2.5","","176.3","","0","","25","","105",""
"1959-12","1959","12","0.7","","-5.3","","-2.3","","13.9","","-12.8","","64.3","","32.3","","96.5","","20","","25","","72","S"
"1960-01","1960","01","-3.5","","-9.8","","-6.7","","8.3","","-23.9","","14.0","","87.6","","101.6","","76","","20","","113",""
"1960-02","1960","02","0.1","","-5.9","","-2.9","","4.4","S","-20.0","","51.6","","31.0","","82.6","","10","","9","","92",""
"1960-03","1960","03","-0.2","","-6.0","","-3.1","","8.3","","-15.0","","8.1","","90.2","","98.3","","43","","2","","121",""
"1960-04","1960","04","6.6","","-1.8","","2.4","","19.4","","-7.2","","26.7","","7.4","","34.0","","0","","23","","97",""
"1960-05","1960","05","17.1","","6.0","","11.6","","27.8","","-1.1","","40.4","","0.0","","40.4","","0","","25","","64","S"
"1960-06","1960","06","20.3","","10.9","","15.6","","26.7","S","4.4","S","107.2","","0.0","","107.2","","0","","25","","74",""
"1960-07","1960","07","23.0","","13.6","","18.3","","27.2","S","7.8","","52.6","","0.0","","52.6","","0","","27","","56",""
"1960-08","1960","08","24.3","","13.1","","18.7","","33.9","","7.2","S","23.6","","0.0","","23.6","","0","","34","","64","S"
